"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","주차현황 정보 제공여부","주차현황 정보 제공여부명","총 주차면","현재 주차 차량수","현재 주차 차량수 업데이트시간","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 요금","버스 추가 단위 시간(분 단위)","일 최대 요금","공유 주차장 관리업체명","공유 주차장 여부","공유 주차장 관리업체 링크","공유 주차장 기타사항"
"173867","천호역 공영주차장(시)","강동구 천호동 455-0","NW","노외 주차장","1","시간제 주차장","02-2290-6201","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1431","1123","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","168000","","360","5","360","5","0","0","0","0","","베스텔라랩","Y","com.vestellalab.watchmilepublic","*"
"881056","목동노외 공영주차장(시)","양천구 목동 905-32","NW","노외 주차장","1","시간제 주차장","02-2664-1386","0","미연계중","48","0","","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","70000","","150","5","150","5","0","0","0","0","9000","*","N","*","*"
"1037932","구로디지털단지역 공영주차장(시)","구로구 구로동 810-3","NW","노외 주차장","1","시간제 주차장","02-2290-6034","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","91","48","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","168000","","320","5","320","5","0","0","0","0","0","*","N","*","*"
"1040225","논현로22길(시)","강남구 개포동 1266-0","NW","노외 주차장","1","시간제 주차장","02-2176-0907","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","97","37","2024-08-27 19:02:01","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","120000","","200","5","200","5","0","0","0","0","","*","N","*","*"
"1051043","구파발역 공영주차장(시)","은평구 진관동 70-1","NW","노외 주차장","1","시간제 주차장","02-2290-6088","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","399","475","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","109000","","240","5","240","5","0","0","0","0","0","*","N","*","*"
"1163833","봉천복개3 공영주차장(시)","관악구 신림동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","33","2026-03-19 16:14:31","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","162000","1162010200001","220","5","220","5","0","0","0","0","","*","N","*","*"
"1167546","독산동 금천교 공영주차장(시)","금천구 독산동 1081-4","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","15","2026-03-19 16:14:40","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","160000","1154510200186","400","5","400","5","0","0","0","0","0","*","N","*","*"
"1208601","청계2(북2) 공영주차장(시)","종로구 관수동 91-4","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","4","2026-03-19 16:14:34","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","0","1111015500003","750","5","750","5","0","0","0","0","0","*","N","*","*"
"1210657","청계3(북1) 공영주차장(시)","종로구 예지동 140-1","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","10","2026-03-19 16:14:33","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","0","1111015800003","750","5","750","5","0","0","0","0","0","*","N","*","*"
"1234305","가마산고가밑 공영주차장(시)","구로구 구로동 414-13","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","15","2026-03-19 16:14:34","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","0","1153010200072","120","5","120","5","0","0","0","0","0","*","N","*","*"
"1235522","청계3(남) 공영주차장(시)","중구 주교동 51-3","NS","노상 주차장","1","시간제 주차장","","0","미연계중","1","0","2024-10-15 13:06:14","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","0","1114015200211","750","5","750","5","0","0","0","0","0","*","N","*","*"
"1235665","청계6(청평화) 공영주차장(시)","중구 신당동 217-91 0","NS","노상 주차장","1","시간제 주차장","02-2252-8036","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","3","2026-03-19 16:14:42","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","0000","N","무료","Y","유료","0","1114016200217","450","5","450","5","0","0","0","0","0","*","N","*","*"
"1236612","남대문 화물 공영주차장(시)","중구 남대문로4가 24-1","NS","노상 주차장","1","시간제 주차장","","0","미연계중","1","0","2024-10-08 13:02:52","Y","유료","N","야간 미개방","0900","1900","0900","1900","0900","1900","N","무료","N","무료","","1114011700001","400","5","400","5","0","0","0","0","","*","N","*","*"
"1247636","신설동 공영주차장(시)","동대문구 신설동 114-29","NW","노외 주차장","1","시간제 주차장","02-2232-6096","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","79","64","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0900","1900","0900","1900","0900","1900","N","무료","N","무료","84000","","360","5","360","5","0","0","0","0","","*","N","*","*"
"1277144","영등포구청역 공영주차장(시)","영등포구 당산동3가 370-3","NW","노외 주차장","1","시간제 주차장","02-2290-6089","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","137","101","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0500","0100","0500","0100","0500","0100","N","무료","N","무료","134000","","400","5","400","5","0","0","0","0","","*","N","*","*"
"1277145","잠실역 공영주차장(시)","송파구 신천동 27-0","NW","노외 주차장","1","시간제 주차장","02-2290-6402","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","357","327","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0500","0100","0500","0100","0500","0100","N","무료","N","무료","275000","","440","5","440","5","0","0","0","0","","*","N","*","*"
"1277146","장안2동 공영주차장(시)","동대문구 장안동 286-9","NW","노외 주차장","1","시간제 주차장","02-2290-6417","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","80","68","2026-03-19 16:14:31","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","84000","","130","5","130","5","0","0","0","0","","*","N","*","*"
"1277157","해방촌노외 공영주차장(시)","용산구 용산동2가 1-1497","NW","노외 주차장","1","시간제 주차장","","0","미연계중","24","0","2024-02-20 18:29:05","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","N","무료","N","무료","90000","","130","5","130","5","0","0","0","0","9300","*","N","*","*"
"1277160","당산노외 공영주차장(시)","영등포구 당산동3가 2-1","NW","노외 주차장","1","시간제 주차장","02-1533-2315","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","236","85","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0800","2100","0800","2100","0800","2100","N","무료","N","무료","168000","","400","5","400","5","0","0","0","0","","*","N","*","*"
"1277163","명일파출소 공영주차장(시)","강동구 명일동 47-9","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","11","8","2026-03-19 16:14:36","Y","유료","N","야간 미개방","0900","2000","0900","1500","0000","0000","N","무료","Y","유료","162000","","220","5","220","5","0","0","0","0","","*","N","*","*"
"1366527","동작대교 공영주차장(시)","용산구 용산동6가 69-11","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","88","84","2026-03-19 16:14:31","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","N","무료","N","무료","80000","","120","5","120","5","0","0","0","0","0","*","N","*","*"
"1366576","개화역 공영주차장(시)","강서구 개화동 664-0","NW","노외 주차장","1","시간제 주차장","02-2290-6312","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","480","425","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","109000","","290","5","290","5","0","0","0","0","0","*","N","*","*"
"1366590","신대방역 공영주차장(시)","관악구 신림동 498-0","NW","노외 주차장","1","시간제 주차장","02-2290-6144","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","60","38","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","168000","","360","5","360","5","0","0","0","0","","*","N","*","*"
"1366593","구로디지털단지역(상) 공영주차장(시)","관악구 신림동 1677-5","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","31","20","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0800","2100","0800","2100","0800","2100","N","무료","N","무료","168000","","360","5","360","5","0","0","0","0","","*","N","*","*"
"1366600","학여울역 공영주차장(시)","강남구 대치동 514-1","NW","노외 주차장","1","시간제 주차장","02-3405-4074","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","180","147","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0500","0100","0500","0100","0500","0100","N","무료","N","무료","168000","","370","5","370","5","0","0","0","0","","*","N","*","*"
"1366602","일원터널 공영주차장(시)","강남구 일원동 722-1","NW","노외 주차장","1","시간제 주차장","02-2290-6449","0","미연계중","11","0","","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","84000","","130","5","130","5","0","0","0","0","0","*","N","*","*"
"1366624","창동역(서) 공영주차장(시)","도봉구 창동 330-0","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","106","72","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","168000","","320","5","320","5","0","0","0","0","","*","N","*","*"
"1366903","석계역 공영주차장(시)","노원구 월계동 50-9","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","70","46","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","168000","","280","5","280","5","0","0","0","0","","*","N","*","*"
"1367120","동구로 공영주차장(시)","구로구 구로동 94-1","NW","노외 주차장","1","시간제 주차장","02-3405-4086","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","70","19","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","168000","","320","5","320","5","0","0","0","0","0","*","N","*","*"
"1367264","적선동 주차장(시)","종로구 적선동 140-0","NW","노외 주차장","4","버스전용 주차장","02-2264-4895","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","28","5","2025-09-26 11:41:50","Y","유료","N","야간 미개방","0900","1900","0900","1900","0900","1900","N","무료","N","무료","0","","8100","120","680","5","8100","120","680","5","0","*","N","*","*"
"1367564","해군본부앞 공영주차장(시)","영등포구 신길동 812-0","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","9","2026-03-19 16:14:33","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","144000","1156013200124","200","5","200","5","0","0","0","0","","*","N","*","*"
"1367773","가산동 금천교 공영주차장(시)","금천구 가산동 691-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","27","2026-03-19 16:14:40","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","140000","1154510100104","200","5","200","5","0","0","0","0","0","*","N","*","*"
"1367792","당산고가밑 공영주차장(시)","영등포구 당산동5가 9-15","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","14","2026-03-19 16:14:35","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","","1156011500013","450","5","450","5","0","0","0","0","","*","N","*","*"
"1367804","을지로 공영주차장(시)","중구 을지로3가 282-8","NS","노상 주차장","1","시간제 주차장","02-2274-2009","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","46","2026-03-19 16:14:32","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","","1114015500020","810","5","810","5","0","0","0","0","","*","N","*","*"
"1368955","남산공원 소월로 관광버스전용 주차장(시)","중구 남대문로5가 450-0","NS","노상 주차장","4","버스전용 주차장","02-2290-6449","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","7","2026-03-19 16:14:41","N","무료","N","야간 미개방","0000","0000","0000","0000","0000","0000","Y","유료","Y","유료","0","1114011800207","0","0","0","0","0","0","0","0","0","*","N","*","*"
"1369476","탑골공원 관광버스전용 주차장(시)","종로구 종로2가 38-4","NS","노상 주차장","4","버스전용 주차장","02)2290-6449","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","2","2026-03-19 16:14:37","N","무료","N","야간 미개방","0000","0000","0000","0000","0000","0000","Y","유료","Y","유료","0","1111013800003","0","0","0","0","0","0","0","0","0","*","N","*","*"
"1372454","대림노외 공영주차장(시)","구로구 구로동 120-3","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","93","64","2026-03-19 16:14:32","Y","유료","N","야간 미개방","0900","1900","0900","1900","0900","1900","N","무료","N","무료","168000","","320","5","320","5","0","0","0","0","","*","N","*","*"
"1372873","도봉산역 공영주차장(시)","도봉구 도봉동 288-19","NW","노외 주차장","1","시간제 주차장","02)2290-6047 ","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","358","409","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","109000","","280","5","280","5","0","0","0","0","0","*","N","*","*"
"1384198","동대문 공영주차장(시)","중구 신당동 251-7","NW","노외 주차장","1","시간제 주차장","02)2254-4901 ","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1092","299","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","157000","","360","5","360","5","0","0","0","0","0","*","N","*","*"
"1386536","서울글로벌센터 공영주차장(시)","종로구 서린동 63-0","NW","노외 주차장","1","시간제 주차장","02-720-9862","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","44","30","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0900","1800","0000","0000","0000","0000","Y","유료","Y","유료","336000","","700","5","700","5","0","0","0","0","","*","N","*","*"
"1404936","천왕역 공영주차장(시)","구로구 천왕동 280-11","NW","노외 주차장","1","시간제 주차장","02-2290-6343","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","327","265","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","109000","","280","5","280","5","0","0","0","0","","*","N","*","*"
"1424461","DDP북측 마장로 관광버스전용 주차장(시)","중구 신당동 222-3","NS","노상 주차장","4","버스전용 주차장","02-2290-6449","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","1","2026-01-06 17:04:41","N","무료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","0","1114016200222","0","0","0","0","0","0","0","0","0","*","N","*","*"
"1425816","동국제강 공영주차장(시)","중구 삼각동 111-1","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","13","4","2026-03-19 16:14:39","Y","유료","N","야간 미개방","0900","1900","0900","1900","0000","0000","N","무료","Y","유료","420000","","700","5","700","5","0","0","0","0","","*","N","*","*"
"1427633","DDP동측(양쪽) 관광버스전용 주차장(시)","중구 을지로7가 2-36","NS","노상 주차장","4","버스전용 주차장","02-2290-6449","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","10","2026-03-19 16:14:31","N","무료","N","야간 미개방","0000","0000","0000","0000","0000","0000","Y","유료","Y","유료","0","1114014900221","0","0","0","0","0","0","0","0","0","*","N","*","*"
"1430035","남대문 초입 관광버스전용 주차장(시)","중구 남창동 282-10","NS","노상 주차장","4","버스전용 주차장","02)2290-6449","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","1","2026-03-19 16:14:42","N","무료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","0","1114011200195","0","0","0","0","0","0","0","0","0","*","N","*","*"
"1430042","남대문 시장 관광버스전용 주차장(시)","중구 남창동 51-4","NS","노상 주차장","4","버스전용 주차장","02)2290-6449","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","2","2026-03-19 16:14:40","N","무료","N","야간 미개방","0000","0000","0000","0000","0000","0000","Y","유료","Y","유료","0","1114011200203","0","0","0","0","0","0","0","0","0","*","N","*","*"
"1437917","영남 공영주차장(시)","영등포구 영등포동4가 123-0","NW","노외 주차장","1","시간제 주차장","02-1688-1054","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","570","324","2026-03-19 16:14:30","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","N","무료","N","무료","110000","","160","5","160","5","0","0","0","0","0","*","N","*","*"
"1451364","청계7가 공영주차장(시)","종로구 창신동 436-87","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","14","2026-03-19 16:14:32","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","0","1111017400026","450","5","450","5","0","0","0","0","0","*","N","*","*"
"1451370","동순라길(종묘) 관광버스전용 주차장(시)","종로구 인의동 107-1","NS","노상 주차장","4","버스전용 주차장","02-2290-6449","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","3","2026-03-19 16:14:41","N","무료","N","야간 미개방","0000","0000","0000","0000","0000","0000","Y","유료","Y","유료","0","1111015700003","0","0","0","0","0","0","0","0","0","*","N","*","*"
"1451938","청계1(북) 공영주차장(시)","종로구 관철동 13-14","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","8","2026-03-19 16:14:31","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","N","무료","Y","유료","0","1111013500003","750","5","750","5","0","0","0","0","0","*","N","*","*"
